Apple|яблоко
Bed|кровать, диван
Body|тело
Can|могу, можешь
Cool|прохладно, свежо
Difficult|трудный, сложный
Drink|напиток,  глоток, пить
Else|иначе
Family|семья
Free|свободный
Good|еда
Have|иметь
House|дом
Life|жизнь
Many|много, несколько
Night|ночь
Other|другой
Put|положить
Road|дорога
Show|показывать
Speak|говорить
Today|сегодня
War|война
Window|окно
Yes|да
